Index	Type	Description         	TileX	TileY	x	y	z	heading	qual	owner	link	flags
117	437	ออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออภ	-1	-1	3	7	49	315	58	16	822	1
118	0	          a_hand_axe	-1	-1	1	0	77	135	54	0	466	2
119	316	            a_scroll	-1	-1	0	1	116	180	52	13	67	3
120	117	      a_shadow_beast	-1	-1	0	6	54	135	62	40	7	1
121	262	               a_key	-1	-1	1	4	7	180	27	16	720	11
122	6	        a_broadsword	-1	-1	6	4	10	45	13	34	999	6
123	116	       a_deep_lurker	-1	-1	0	0	61	0	0	23	344	14
124	1	        a_battle_axe	-1	-1	7	2	2	270	26	36	575	10
125	180	an_ear_of_corn_ears_of_corn	-1	-1	1	0	77	135	58	3	930	15
126	185	         a_toadstool	-1	-1	6	3	0	90	33	26	457	1
127	461	      a_sound_source	-1	-1	7	0	67	180	57	52	278	0
128	161	         a_gold_coin	-1	-1	5	0	0	270	40	56	470	12
